,Question,Numbers,Equation,Answer,group_nums,Type,Variation Type,Body,Ques,Grade,Ques_Statement
0,rachel picked number0 ripe apples from her tree . now the tree has number1 ripe apples and number2 unripe apples . how many ripe apples did the tree have to begin with ?,3 2 27,+ number0 number1,5.0,"[1, 2, 3, 4, 5, 7, 9, 12, 13, 14, 15, 16, 17, 18, 19, 29, 30, 31]",Addition,22,rachel picked number0 ripe apples from her tree . now the tree has number1 ripe apples and number2 unripe apples .,how many ripe apples did the tree have to begin with ?,,
1,rachel picked number0 apples from her tree . thereafter number1 new apples grew on the tree . now the tree has number2 apples still on it . how many apples did the tree have to begin with ?,7 2 6,+ - number2 number1 number0,11.0,"[1, 2, 3, 4, 34, 35, 36, 8, 9, 10, 11, 20, 21, 22]",Addition,21,rachel picked number0 apples from her tree . thereafter number1 new apples grew on the tree . now the tree has number2 apples still on it .,how many apples did the tree have to begin with ?,,
2,rachel 's tree had number0 apples . she picked number1 apples from her tree . thereafter number2 new apples grew on the tree . how many apples are there on the tree now ?,2 4 3,+ - number0 number1 number2,1.0,"[32, 1, 2, 3, 4, 5, 8, 9, 10, 15, 16, 17, 18, 30, 31]",Addition,"21, 23",rachel 's tree had number0 apples . she picked number1 apples from her tree . thereafter number2 new apples grew on the tree .,how many apples are there on the tree now ?,,
3,rachel has number0 apples trees . she picked number1 apples from number2 of her trees . now the tree has number3 apples still on it . how many apples did the tree have to begin with ?,52 2 1 7,+ number1 number3,9.0,"[1, 2, 3, 4, 33, 34, 7, 8, 9, 10, 11, 12, 35, 19, 20, 21]",Addition,33,rachel has number0 apples trees . she picked number1 apples from number2 of her trees . now the tree has number3 apples still on it .,how many apples did the tree have to begin with ?,,
4,rachel has number0 apples trees . she picked number1 apples from each of her trees . now the trees have a total number2 apples still on them . how many apples were there on all trees initially ?,3 8 9,+ * number0 number1 number2,33.0,"[1, 2, 3, 4, 5, 34, 7, 8, 9, 35, 11, 36, 21, 22, 23]",Addition,"33, 22",rachel has number0 apples trees . she picked number1 apples from each of her trees . now the trees have a total number2 apples still on them .,how many apples were there on all trees initially ?,,
5,rachel has number0 apples trees . she picked number1 apples from each of her trees . now the trees have a total number2 apples still on them . how many apples did rachel pick in all ?,4 7 29,* number0 number1,28.0,"[1, 2, 3, 4, 5, 33, 7, 8, 9, 34, 11, 35, 21, 22, 23]",Multiplication,"33, 22",rachel has number0 apples trees . she picked number1 apples from each of her trees . now the trees have a total number2 apples still on them .,how many apples did rachel pick in all ?,,
6,ed had number0 more marbles than doug . doug lost some of his marbles at the playground . now ed has number1 more marbles than doug . how many marbles did doug lose ?,2 19,- number1 number0,17.0,"[32, 1, 2, 3, 4, 5, 20, 21, 22, 23, 30, 31]",Subtraction,23,ed had number0 more marbles than doug . doug lost some of his marbles at the playground . now ed has number1 more marbles than doug .,how many marbles did doug lose ?,,
7,ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . if ed had number2 marbles how many more marbles did ed have than doug then ?,10 11 45,+ number0 number1,21.0,"[32, 1, 2, 3, 4, 6, 7, 9, 10, 11, 20, 21, 22, 30, 31]",Addition,33,ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . if ed had number2 marbles,how many more marbles did ed have than doug then ?,,
8,ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . if ed had number2 marbles how many marbles does doug have now ?,6 7 22,- - number2 number0 number1,9.0,"[1, 2, 3, 4, 6, 9, 10, 11, 20, 21, 22, 27, 28, 29]",Subtraction,"33, 11",ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . if ed had number2 marbles,how many marbles does doug have now ?,,
9,ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . if ed had number2 marbles how many marbles did doug have initially ?,5 3 27,- number2 number0,22.0,"[1, 2, 3, 4, 6, 9, 10, 11, 20, 21, 22, 27, 28, 29]",Subtraction,"33, 11",ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground . if ed had number2 marbles,how many marbles did doug have initially ?,,
10,ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground while ed found number2 more marbles . how many more marbles did ed have than doug then ?,24 27 9,+ + number0 number1 number2,60.0,"[32, 1, 2, 3, 4, 33, 6, 9, 10, 11, 13, 19, 20, 21, 22, 31]",Addition,21,ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground while ed found number2 more marbles .,how many more marbles did ed have than doug then ?,,
11,ed had number0 more marbles than doug . ed lost number1 of his marbles at the playground . how many more marbles did ed have than doug then ?,29 17,- number0 number1,12.0,"[1, 2, 3, 4, 6, 9, 10, 11, 25, 26, 27]",Subtraction,22,ed had number0 more marbles than doug . ed lost number1 of his marbles at the playground .,how many more marbles did ed have than doug then ?,,
12,ed had number0 more marbles than doug . ed lost some of his marbles at the playground . now ed has number1 more marbles than doug . how many marbles did ed lose ?,19 8,- number0 number1,11.0,"[32, 1, 2, 3, 4, 5, 20, 21, 22, 23, 30, 31]",Subtraction,"22, 23",ed had number0 more marbles than doug . ed lost some of his marbles at the playground . now ed has number1 more marbles than doug .,how many marbles did ed lose ?,,
